picture,picture_link,currency,price,rooms,surface,floor,type,method,city,country,latitude,longitude
https://img3.imonet.ro/XV0A/V0A00H44O8O/apartament-de-vanzare-2-camere-bucuresti-titan-75948612_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/titan/apartament-de-vanzare-2-camere-XV0A00V65?lista=2349706,EUR,69000,2,53,1,apartament,buy,Bucuresti,Romania,44.47414459,26.18101099
https://img3.imonet.ro/X80U/80U00H1TAJ9/apartament-de-vanzare-2-camere-bucuresti-berceni-73548590_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/berceni/apartament-de-vanzare-2-camere-X80U0001R?lista=2349706,EUR,59999,2,62,1,apartament,buy,Bucuresti,Romania,44.37313086,26.15231886
https://img3.imonet.ro/X76B/76B00H4VQRU/apartament-de-vanzare-2-camere-bucuresti-metalurgiei-76404460_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/metalurgiei/apartament-de-vanzare-2-camere-X76B0005S?lista=2349706,EUR,52000,2,54,1,apartament,buy,Bucuresti,Romania,44.40124081,26.04064964
https://img3.imonet.ro/X80U/80U00H4CNV7/apartament-de-vanzare-2-camere-bucuresti-berceni-76093280_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/berceni/apartament-de-vanzare-2-camere-X80U00014?lista=2349706,EUR,49500,2,53,1,apartament,buy,Bucuresti,Romania,44.35554735,26.17909714
https://img3.imonet.ro/X8BV/8BV00GMP3HE/apartament-de-vanzare-2-camere-bucuresti-berceni-69018898_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/berceni/apartament-de-vanzare-2-camere-X8BV000C6?lista=2349706,EUR,49000,2,50,1,apartament,buy,Bucuresti,Romania,44.48813745,26.18397975
https://img3.imonet.ro/X5P7/5P700H4UQ7A/apartament-de-vanzare-3-camere-bucuresti-tineretului-76351612_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/tineretului/apartament-de-vanzare-3-camere-X5P700011?lista=2349706,EUR + VAT,105000,3,75,1,apartament,buy,Bucuresti,Romania,44.38067263,26.20070472
https://img3.imonet.ro/X92O/92O00GV73PJ/apartament-de-vanzare-2-camere-bucuresti-p-ta-resita-72305282_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/p-ta-resita/apartament-de-vanzare-2-camere-X92O00001?lista=2349706,EUR + VAT,38500,2,39.27,1,apartament,buy,Bucuresti,Romania,44.44459857,26.1845788
https://img3.imonet.ro/X2F7/2F71000A5RD/apartament-de-vanzare-3-camere-bucuresti-primaverii-73006590_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/primaverii/apartament-de-vanzare-3-camere-X2F71006S?lista=2349706,EUR + VAT,366000,3,88,1,apartament,buy,Bucuresti,Romania,44.43538578,26.16827843
https://img3.imonet.ro/X2F7/2F71000AH5R/apartament-de-vanzare-3-camere-bucuresti-herastrau-76508256_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-3-camere-X2F71007K?lista=2349706,EUR,238000,3,97,1,apartament,buy,Bucuresti,Romania,44.38262276,26.15157261
https://img3.imonet.ro/X3AJ/3AJ10003RSP/apartament-de-vanzare-5-camere-bucuresti-unirii-75414990_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/unirii/apartament-de-vanzare-5-camere-X3AJ1000B?lista=2349706,EUR,215000,5,115,1,apartament,buy,Bucuresti,Romania,44.45337712,26.19055521
